TEMPLATE ID,TELEMARKETER,TEMPLATE NAME,TYPE,HEADER,CATEGORY,REGISTERED DLT,REQUESTED ON,STATUS DATE,APPROVAL STATUS,STATUS,TEMPLATE MESSAGE,CONSENT TYPE,REJECTION REASON
'1107161722520797641',--,bms-movies-bad-transaction,Service-Implicit,BMSHOW,--,Vodafone Idea,01-Apr-2021 02:43:28,01-Apr-2021 12:57:25,Approved,Active,{#var#} sorry that your booking for {#var#}{#var#}{#var#} at {#var#}{#var#}{#var#}{#var#} failed. Pls try again later. {#var#} refund you {#var#}{#var#}.,Implicit,--
'1107161719664017856',--,bms-le-diy-vendor-confirmation,Service-Implicit,BMSHOW,--,Vodafone Idea,31-Mar-2021 18:47:20,01-Apr-2021 12:39:01,Approved,Active,"Hi {#var#}{#var#}{#var#},

Welcome to Hostmyshow. You can access all your event management tools by clicking on the following link:{#var#}{#var#}{#var#}{#var#}{#var#}

Username :{#var#}{#var#}{#var#}{#var#}{#var#}
It is mandatory to reset your password when logging in for the first time. Click here to reset your password:{#var#}{#var#}{#var#}{#var#}{#var#}",Implicit,--
'1107161658721848011',--,bms-le-mticket-transfer-secondary-1,Service-Implicit,BMSHOW,--,Vodafone Idea,24-Mar-2021 17:30:18,24-Mar-2021 18:10:32,Approved,Active,"Hi {#var#}{#var#},

A BookMyShow user ({#var#}) has sent you tickets for {#var#}{#var#}{#var#} on {#var#}{#var#} {#var#}{#var#} at {#var#}{#var#}

Click here to accept the ticket: {#var#}{#var#}{#var#}{#var#}{#var#}{#var#}{#var#}

Please note that you'll have to login/register on Bookmyshow app/mobile browser to accept the ticket.",Implicit,--
'1107161658716728084',--,bms-le-mticket-accept-primary-v2,Service-Implicit,BMSHOW,--,Vodafone Idea,24-Mar-2021 17:29:27,24-Mar-2021 18:10:35,Approved,Active,"Hi {#var#}{#var#},


{#var#}{#var#} has accepted your tickets for {#var#}{#var#}{#var#} on {#var#}{#var#} at {#var#}{#var#}.


You are all set. To complete the transfer, we've removed the copy of the transferred ticket(s) from your account.


Click here to access your tickets {#var#}{#var#}{#var#}{#var#}{#var#}{#var#}{#var#}",Implicit,--
'1107161650229436405',--,bms-le-presales-registration,Service-Implicit,BMSHOW,--,Vodafone Idea,23-Mar-2021 17:54:54,24-Mar-2021 13:10:59,Approved,Active,Thank you for showing interest in {#var#}{#var#}{#var#}{#var#}. We'll notify you when this event is open for sales.,Implicit,--
'1107161650224743872',--,bms-le-presales-otp,Service-Implicit,BMSHOW,--,Vodafone Idea,23-Mar-2021 17:54:07,24-Mar-2021 13:10:50,Approved,Active,{#var#} is your BookMyShow OTP. This OTP is valid for {#var#} mins. Do not share OTP for security reasons.,Implicit,--
'1107161650221087714',--,bms-le-mticket-multicat-v4,Service-Implicit,BMSHOW,--,Vodafone Idea,23-Mar-2021 17:53:31,24-Mar-2021 13:10:41,Approved,Active,"Ticket(s) Booked!

Hi, your ticket(s) for {#var#}{#var#}{#var#} is successfully booked.
Booking ID: {#var#}

Venue: {#var#}{#var#}
Date & Time: {#var#} at {#var#}

Ticket details: 
{#var#}{#var#}{#var#}{#var#}{#var#}

Just scan the QR code at the venue and you are good to go!
Find your M-tickets at: {#var#}{#var#}{#var#}{#var#}

Add-ons details:
{#var#}{#var#}{#var#}{#var#}

{#var#}{#var#}{#var#}{#var#}{#var#}",Implicit,--
'1107161650217239969',--,bms-pg-combo-gc-1,Service-Implicit,BMSHOW,--,Vodafone Idea,23-Mar-2021 17:52:52,24-Mar-2021 13:10:34,Approved,Active,Hi {#var#} you have received BookMyShow Gift Card(s) - {#var#} from {#var#}. Please check your email for further details.,Implicit,--
'1107161640437426921',--,bms-movies-non-bms-fnb-2,Service-Implicit,BMSHOW,--,Vodafone Idea,22-Mar-2021 14:42:54,22-Mar-2021 18:04:25,Approved,Active,"Hi {#var#},

Your Food & Beverage Booking ID:
{#var#}

Order Summary:
{#var#}{#var#}{#var#}{#var#}{#var#}{#var#}{#var#}{#var#}{#var#}{#var#}{#var#}{#var#}{#var#}{#var#}{#var#}

Pick up your order from the F&B counter. Please show your sms/email to redeem your order.

Venue: {#var#}{#var#}

Your booking is valid till {#var#} at your venue.

{#var#}{#var#}{#var#}{#var#}{#var#}",Implicit,--
'1107161639814161261',--,bms-le-cart-v2,Service-Implicit,BMSHOW,--,Vodafone Idea,22-Mar-2021 12:59:02,22-Mar-2021 17:59:22,Approved,Active,"Ticket(s) Booked!

Hi, your ticket(s) for {#var#}{#var#}{#var#} and {#var#} other events are successfully booked and sent to your registered email ID.
Booking ID: {#var#}

Please refer to the confirmation email sent to your registered email ID for the complete details of your booking

{#var#}{#var#}{#var#}{#var#}{#var#}",Implicit,--
'1107161631489902844',--,bms-movies-amz-bo-fnb-1,Service-Implicit,AMZBMS,--,Vodafone Idea,21-Mar-2021 13:51:39,22-Mar-2021 10:05:15,Approved,Active,"Booking confirmed for {#var#}{#var#}{#var#} on {#var#}{#var#} at {#var#}{#var#}{#var#}

Booking ID: {#var#}
Seat(s): {#var#}{#var#}{#var#}

Share the Booking ID and collect your tickets at the box office.

F&B Booking ID: {#var#}
Food and Beverage: {#var#}
{#var#}{#var#}{#var#}{#var#}{#var#}

Item(s): {#var#}{#var#}{#var#}{#var#}{#var#}{#var#}{#var#}{#var#}{#var#}{#var#}{#var#}

{#var#}{#var#}{#var#}{#var#}

Booking powered by BookMyShow.",Implicit,--
